file_name,item_name,html_path,resource_path,desc_present,image_urls,price,currency,plain_description,enriched_description,tags,item_type,suggested_projects,parts_count_guess,part_count_estimate_llm
0.42 inch oled LCD screen 72×40 small size display bracelet white light iic interface 4 pin module - AliExpress.html,0.42 inch oled LCD screen 72×40 small size display bracelet white light iic interface 4 pin module,C:\Lab Orders\aliexpress\Ali Express Items\0.42 inch oled LCD screen 72×40 small size display bracelet white light iic interface 4 pin module - AliExpress.html,C:\Lab Orders\aliexpress\Ali Express Items\0.42 inch oled LCD screen 72×40 small size display bracelet white light iic interface 4 pin module - AliExpress_files,True,"Aa5e525c2c1974d7fb01e3d5dca10f9b3v.jpg_220x220.jpg, S0ec8a2406fda4571b6797d7ab1dd8f0aZ.jpg_640x640q90.jpg, S1447fe6caa224b11a319ed1d23e722d85.png, S1c119cac63ca4d1c887dcf3d63000589j.png, S3c7a7b6061fe46ba8e80c0765c822e81q.jpg_640x640q90.jpg, S3ceb563d86374c60ace6174b33f933900.jpg_640x640q90.jpg, S53553d78d1734313a65cf526b770b5f4c.png, S733b629fa58149c1ae9ac9658a84597bh.jpg_640x640q90.jpg, S85c8413811594b6ba514a912ddce40caa.jpg_640x640q90.jpg, Sb967ccf5664c468f8af34b907bd7a0fej.jpg_640x640q90.jpg",,,2. Functions & Features 2-1. Dot Matrix: 72X40 Dots 2-2. OLED Mode: Positive 2-3. Drive mode: 1/40 Duty 2-4. LCM working voltage (module pin 2 VCC): 3.3~5V 2-5. Working temperature: -40C ~70 2-6. Storage temperature: -40C ~85C 2-7. Connection method/Drive IC: COG/SSD1306 Interface: IIC . 3. Mechanical Specifications 3-1. Module size: 12mm (L)*17mm(1)*11.3Maxm(T) 3-2. Visible area (V/A): 10. 2mm (L)*6.18mm (W) 3-3. Effective area (A/A): 9. 2mm (L)*5.18mm(W) 3-4. Point distance: 0. 128mm (1)*0.13m(W) 3-5. Point size: 0. 108m(L)*0.11m(W),"The 0.42 inch OLED LCD screen features a compact 72x40 dot matrix display, ideal for wearable projects and small devices. It operates on a voltage range of 3.3V to 5V and communicates via an IIC interface, making it compatible with popular microcontrollers like Arduino and ESP32. The display is driven by the SSD1306 IC, ensuring efficient performance in various temperature ranges from -40°C to 70°C. Be mindful of the small pin spacing and ensure proper connections to avoid damage during setup.","oled, display, iic, 72x40, small, module, arduino, esp32, wearable, electronics",oled display module,"wearable health monitor, mini weather station, portable game console, smart bracelet",,1
0.42 inch White OLED Display LCD Module 72X40 Serial Screen White Color I2C IIC_SPI Interface SSD1306 72_40 - AliExpress.html,0.42 inch White OLED Display LCD Module 72X40 Serial Screen White Color I2C IIC/SPI Interface SSD1306 72*40,C:\Lab Orders\aliexpress\Ali Express Items\0.42 inch White OLED Display LCD Module 72X40 Serial Screen White Color I2C IIC_SPI Interface SSD1306 72_40 - AliExpress.html,C:\Lab Orders\aliexpress\Ali Express Items\0.42 inch White OLED Display LCD Module 72X40 Serial Screen White Color I2C IIC_SPI Interface SSD1306 72_40 - AliExpress_files,True,"S1c98666cd2504c42a493ef5ec737bc79Y.jpg_640x640q90.jpg, S32728da5a6de40ddb0dc426f3667de01R.jpg_640x640q90.jpg, S480e02b1b34a435d84c412e6819a082f7.jpg_640x640q90.jpg, S5e873f39f3c44e9ab0ba009b9ab2c477g.jpg_640x640q90.jpg, S7d7eda3209cc410ab8d9d44dca3cec04j.jpg_640x640q90.jpg, Sd4ded99a7a684bc489d48d9944427312H.jpg_640x640q90.jpg, Sda89bb81581e4cf2b3c0c2dfd77f7235R.jpg_640x640q90.jpg",,,Main features: Size: 0.42“ Pixels: 72 X 40 pixels CPU interface: I2C Driver IC: SSD1306 Display color: white Graphic OLED Package includes: One X 0.42 inch 4-pin OLED display SSD1306 LCD IIC interface module,"The 0.42 inch White OLED Display LCD Module features a compact 72x40 pixel resolution and utilizes the SSD1306 driver IC, making it suitable for various microcontroller projects. It supports both I2C and SPI interfaces, allowing for flexible integration with Arduino, ESP32, STM32, or Raspberry Pi platforms. Operating at 3.3V to 5V logic levels, this display is ideal for low-power applications. Common pitfalls include ensuring proper pull-up resistors for I2C communication and managing the display's power requirements to avoid flickering.","oled, display, ssd1306, i2c, spi, module, white, graphics, electronics, diy",oled display module,"smartwatch interface, sensor data display, mini game console, home automation dashboard",,1
0.96 Inch OLED Display Module SSD1306 I2C IIC SPI Serial 128X64 LCD 4 Pin YellowBlue WhiteBlue for Arduino(Pin Headers Soldered) - AliExpress.html,0.96 Inch OLED Display Module SSD1306 I2C IIC SPI Serial 128X64 LCD 4 Pin YellowBlue WhiteBlue for Arduino(Pin Headers Soldered),C:\Lab Orders\aliexpress\Ali Express Items\0.96 Inch OLED Display Module SSD1306 I2C IIC SPI Serial 128X64 LCD 4 Pin YellowBlue WhiteBlue for Arduino(Pin Headers Soldered) - AliExpress.html,C:\Lab Orders\aliexpress\Ali Express Items\0.96 Inch OLED Display Module SSD1306 I2C IIC SPI Serial 128X64 LCD 4 Pin YellowBlue WhiteBlue for Arduino(Pin Headers Soldered) - AliExpress_files,True,"A3ac338a1667f44e7b96497675e9e837ec.jpg_220x220.jpg, A56bdc231c6614bd9b149f554e5fc2df30.jpg_220x220.jpg, Aa1bd9ed3877b44e990b47124affae8cem.jpg_220x220.jpg, Abb719f174b0e423094dccffaabd778d8v.jpg_220x220.jpg, S59664c3efa914eb08b30a5049850c71aL.png, S7391c9bcfa174760bf5b4c21127deb979.jpg_640x640q90.jpg, S7f96d31043644505802be7793d8edf2fJ.jpg_640x640q90.jpg, S80fc697749164ebbb41fc9c76d943a4fW.png, Scd53d861790340dea19d4a419d999112G.jpg_640x640q90.jpg",,,,"The 0.96 Inch OLED Display Module features a resolution of 128x64 pixels and supports both I2C and SPI interfaces, making it versatile for various microcontroller applications such as Arduino, ESP32, and STM32. With a 4-pin configuration, it simplifies connections and is compatible with 3.3V and 5V logic levels. This display is ideal for projects requiring compact visual output, such as sensor readouts or simple graphics. Be cautious of the power supply requirements and ensure proper initialization in your code to avoid display issues.","oled, display, module, ssd1306, i2c, spi, arduino, esp32, stm32, electronics, diy",oled display module,"weather station display, sensor data visualization, simple game interface, smart home dashboard",,1
0.96_1.3 inch OLED display 64×128 LCD module SH1107 LCD 1.3 _OLED Vertical screen module for arduino - AliExpress.html,"0.96/1.3 inch OLED display 64×128 LCD module SH1107 LCD 1.3 ""OLED Vertical screen module for arduino",C:\Lab Orders\aliexpress\Ali Express Items\0.96_1.3 inch OLED display 64×128 LCD module SH1107 LCD 1.3 _OLED Vertical screen module for arduino - AliExpress.html,C:\Lab Orders\aliexpress\Ali Express Items\0.96_1.3 inch OLED display 64×128 LCD module SH1107 LCD 1.3 _OLED Vertical screen module for arduino - AliExpress_files,True,"Ac4a069d356394f85a4318c349654d68cI.jpg_220x220.jpg, S0141c753d0d64175ad4f3eceb5257a23c.jpg_640x640q90.jpg, S1142b4e252d7431ca689898b2785bf6fH.jpg_640x640q90.jpg, S345bbf0322c7494981ecf82738f2352cf.jpg_640x640q90.jpg, S8312d31caefa4bc1b20e651e329c71f80.jpg_640x640q90.jpg, Sca84d3f5d17744b1be8fc9dbe2e08cf4n.png, Sda1ec269d8004ec5b9439343e9aeba4c0.jpg_640x640q90.jpg",,,"3. Mechanical specifications 3-1. Module size: 36 5mm(L)*19m(W)*11. 3Maxmm(T) 3-2. Visible area (V/A): 22 74m(L)*11.86m(W) 3-3. Effective area (A/A): 21 74m(L)*10.86m(W) 3-4. Point distance: 0 17mm(L)*0.17mm(W) 3-5. Point size: 0 15mm(L)*0.15mm(W) 2. Functions&Features 2-1. Dot matrix: 64X128 Dots 2-2. OLED mode: positive 2-3. Drive mode: 1/64 Duty 2-4. LCM working voltage (VDD): 3 3V 2-5. OLED drive voltage VLCD (VOP): 9 0V 2-6. Working temperature: - 40C~70 ° C 2-7. Storage temperature: - 40 ° C~85 ° C 2-8. Connection mode/drive IC: COG/SH1107 Interface: IIC 1.3 inch 2. Functions&Features 2-1. Dot matrix: 64 (C) X128 (S) Dots 2-2.0 LED mode: positive 2-3. Display: OLED (monochrome) 2-4. LCM working voltage (second pin Vcc): 3.3~5V 2-6. Working temperature: - 40C~70C 2-7. Storage temperature: - 40C ""85C 2-8. Connection mode/drive IC: COG/SH1107 Interface: IIC 3. Mechanical specifications 3-1. Module size: 19 * 43.5 * 11 3Max(T) m 3-2. Visible area (V/A): 15 3*30.02mm 3-3. Effective area (A/A): 14 7*29.42mm 3-4. Point distance: 0 23*0.23mm 3-5. Point size: 0 21*0.21m","The 0.96/1.3 inch OLED display module features a 64x128 dot matrix and operates via I2C interface, making it suitable for integration with Arduino, ESP32, STM32, and Raspberry Pi projects. It supports a working voltage of 3.3V to 5V, allowing for compatibility with various microcontrollers. Be mindful of the OLED drive voltage of 9V, which may require an external power supply. Common pitfalls include incorrect wiring and not accounting for the display's temperature range, which can affect performance in extreme conditions.","oled, display, module, arduino, i2c, sh1107, electronics, diy, screen, embedded, monochrome",oled display module,"simple weather station, digital clock, sensor data display, game console interface",,
0520D Mini Electric Solenoid Valve DC 3V 4.5V 6V 12V 24V N_C Normally Closed Micro Air Gas Valve Flow Control DIY Pump Massager - AliExpress.html,0520D Mini Electric Solenoid Valve DC 3V 4.5V 6V 12V 24V N/C Normally Closed Micro Air Gas Valve Flow Control DIY Pump Massager,C:\Lab Orders\aliexpress\Ali Express Items\0520D Mini Electric Solenoid Valve DC 3V 4.5V 6V 12V 24V N_C Normally Closed Micro Air Gas Valve Flow Control DIY Pump Massager - AliExpress.html,C:\Lab Orders\aliexpress\Ali Express Items\0520D Mini Electric Solenoid Valve DC 3V 4.5V 6V 12V 24V N_C Normally Closed Micro Air Gas Valve Flow Control DIY Pump Massager - AliExpress_files,True,"S0c2ace239f174ecb967e217ab1ed5c276.jpg_640x640q90.jpg, S1414d35c76ab420c808aae9bd9cfcf9aq.jpg_640x640q90.jpg, S4355a8175c7c4dbfb9cbe75dc01b63cbq.jpg_640x640q90.jpg, S4a7dc7b21a9a4c8da0b174117f97fa07T.jpg_640x640q90.jpg, S72018a92970c4a5d817094cef5f21190I.jpg_640x640q90.jpg, S72ce112da1884d4987bc30e86c341c692.jpg_640x640q90.jpg, S7c09c1fec5854fb191358c5485e97801l.jpg_640x640q90.jpg, S8f5360b446f340b8b11ee057008274bfO.jpg_640x640q90.jpg, S8fa2f1dac981466e89a76573c039e6edt.jpg_640x640q90.jpg, Sbf04e4903b4b4325ac8ad372546ad76fH.jpg_640x640q90.jpg, Sd758067637664c8489c1c1871f37cca3q.jpg_640x640q90.jpg, Sd7db82929fac478ebb7d6b1fbc7f4a01m.jpg_640x640q90.jpg, Sdd45cc3e856a4006a0d01cef4afa524el.jpg_640x640q90.jpg, See0c4b8fbdc847c68e8fafb029f7436bW.jpg_640x640q90.jpg, Sf2b01a76f6ee4596b58ed848c318b72bo.jpg_640x640q90.jpg, Sf54f5ac795c941ed9be85c2abb0a8006P.jpg_640x640q90.jpg",,,"Specification: 1.Model: 0520D 2.Rated voltage: DC 3.0V / DC 4.5V / DC 6.0V / DC 12.0V / DC 24.0V 3.Rated current: < 320mA, ＜260mA , ＜ 170mA , ＜ 120mA , ＜ 80mA 4.Deflating speed: < 3 seconds(Air pressure decrease from 300mmHg to 15mmHg in the 500cc container) 5.Pressure range: 0-350mmhg 6.Air tightness: < 5mmHg/min 7.Using fluids: air 8.Life: > 50000 times 9.Temperature range: 0℃-55℃ 10.Noise: ＜ 60dB 11.Power: < 2W 12.Size detail(unit/mm): Package List: Mini Solenoid Valve x 1pcs","The 0520D Mini Electric Solenoid Valve is a versatile component suitable for controlling air and gas flow in various DIY projects. It operates at multiple voltage levels (DC 3V to 24V) and has a low current draw, making it compatible with microcontrollers like Arduino and ESP32. This normally closed valve can be easily integrated into automated systems for applications such as pneumatic pumps or massage devices. Ensure proper power supply and consider the valve's rated current to avoid overheating. Common pitfalls include exceeding the voltage ratings and not providing adequate air pressure for optimal performance.","solenoid valve, air control, gas valve, diy project, microcontroller, automation, pneumatic, flow control",mini electric solenoid valve,"automated air pump, pneumatic massage device, robotic gripper, air flow control system",1,1
1 2 3 4 12 16 20 Key Button Membrane Switch 1x4 3x4 4x4 4x5 Keys Matrix Array Keyboard Keypad Control Panel DIY Kit For Arduino - AliExpress.html,1 2 3 4 12 16 20 Key Button Membrane Switch 1x4 3x4 4x4 4x5 Keys Matrix Array Keyboard Keypad Control Panel DIY Kit For Arduino,C:\Lab Orders\aliexpress\Ali Express Items\1 2 3 4 12 16 20 Key Button Membrane Switch 1x4 3x4 4x4 4x5 Keys Matrix Array Keyboard Keypad Control Panel DIY Kit For Arduino - AliExpress.html,C:\Lab Orders\aliexpress\Ali Express Items\1 2 3 4 12 16 20 Key Button Membrane Switch 1x4 3x4 4x4 4x5 Keys Matrix Array Keyboard Keypad Control Panel DIY Kit For Arduino - AliExpress_files,True,"S0480a580d7064e54a031072a65db68dfY.png, S0776ceacc4c446e48f6a7304e186278f6.png, S17092b1d33414038af05eb4bfbf10b08e.png, S28f18f2fff674059aac1589531a0e795D.png, S71df9881e1e64c5881479ddbe7f8717bG.png, Sf3caf8ca7a5d471e93b63de6e665c0fam.jpg_640x640q90.jpg",,,,"This 1x4, 3x4, 4x4, and 4x5 key matrix keypad is an excellent input interface for your Arduino or other microcontroller projects. It operates at standard logic levels (5V), making it compatible with most microcontrollers. The membrane switch design ensures a compact form factor, ideal for DIY control panels. Be mindful of debounce handling in your code to avoid multiple readings from a single press. This keypad is perfect for applications requiring user input, such as menu navigation or control systems.","keypad, matrix, membrane switch, arduino, microcontroller, input device, control panel, DIY, electronics",keypad matrix module,"DIY control panel, interactive game controller, home automation interface, custom menu navigation system",,1
1 2 3 4 5 6 7 8 Key Button Membrane Switch Matrix Array Keyboard Keypad Control Panel Pad DIY Kit For Arduino Smart Car - AliExpress.html,1 2 3 4 5 6 7 8 Key Button Membrane Switch Matrix Array Keyboard Keypad Control Panel Pad DIY Kit For Arduino Smart Car,C:\Lab Orders\aliexpress\Ali Express Items\1 2 3 4 5 6 7 8 Key Button Membrane Switch Matrix Array Keyboard Keypad Control Panel Pad DIY Kit For Arduino Smart Car - AliExpress.html,C:\Lab Orders\aliexpress\Ali Express Items\1 2 3 4 5 6 7 8 Key Button Membrane Switch Matrix Array Keyboard Keypad Control Panel Pad DIY Kit For Arduino Smart Car - AliExpress_files,True,"A11372fbe83c548a3991a7ca67b2907adc.jpg_220x220.jpg, A1e3af1d8865e4f11869066aea5797124Q.jpg_220x220.jpg, Aa7efcfe77f314a67b73ffe71bc3ecf36f.jpg_220x220.jpg, Aebc0983379404f8f853312cdb01fe890s.jpg_220x220.jpg, Af8419a07e78e46dc9dcdf7eb78a382c2S.jpg_220x220.jpg, H221993a46634437a97e642cecd6addaah.gif, HTB1.UJCA7CWBuNjy0Faq6xUlXXaX.jpg_640x640q90.jpg, HTB12CxsjQomBKNjSZFqq6xtqVXaf.jpg_640x640q90.jpg, HTB12nNBA1uSBuNjSsziq6zq8pXaf.jpg_640x640q90.jpg, HTB17J2ysxuTBuNkHFNRq6A9qpXah.jpg_640x640q90.jpg, HTB19jV5AY9YBuNjy0Fgq6AxcXXa5.jpg_640x640q90.jpg, HTB19VXPclcXBuNjt_Xoq6xIwFXaS.jpg_640x640q90.jpg, HTB1AihwA41YBuNjy1zcq6zNcXXaY.jpg_640x640q90.jpg, HTB1bH3HswKTBuNkSne1q6yJoXXa6.jpg_640x640q90.jpg, HTB1C5FBAY1YBuNjSszeq6yblFXa0.jpg_640x640q90.jpg, HTB1EPAqXPuhSKJjSspjq6Ai8VXaB.jpg_640x640q90.jpg, HTB1F08Sd8USMeJjy1zjq6A0dXXad.jpg_640x640q90.jpg, HTB1GILDA_tYBeNjy1Xdq6xXyVXao.jpg_640x640q90.jpg, HTB1Jrj2jCMmBKNjSZTEq6ysKpXao.jpg_640x640q90.jpg, HTB1JYlnA1SSBuNjy0Flq6zBpVXac.jpg_640x640q90.jpg, HTB1M5RlA79WBuNjSspeq6yz5VXa4.jpg_640x640q90.jpg, HTB1mlVoAYuWBuNjSszgq6z8jVXaD.jpg_640x640q90.jpg, HTB1N054gEUIL1JjSZFrq6z3xFXaz.jpg_640x640q90.jpg, HTB1oZ1ysyCYBuNkHFCcq6AHtVXap.jpg_640x640q90.jpg, HTB1qIJmA1uSBuNjy1Xcq6AYjFXaP.jpg_640x640q90.jpg, HTB1qoRoAY5YBuNjSspoq6zeNFXaF.jpg_640x640q90.jpg, HTB1rQVhA79WBuNjSspeq6yz5VXaE.jpg_640x640q90.jpg, HTB1UbXQA49YBuNjy0Ffq6xIsVXaq.jpg_640x640q90.jpg, HTB1VfJXA7yWBuNjy0Fpq6yssXXaA.jpg_640x640q90.jpg, HTB1vNHJjtknBKNjSZKPq6x6OFXaH.jpg_640x640q90.jpg, HTB1wZJHf.l7MKJjSZFDq6yOEpXag.jpg_640x640q90.jpg, HTB1X8MtAMaTBuNjSszfq6xgfpXad.jpg_640x640q90.jpg, HTB1X_qejOQnBKNjSZFmq6AApVXap.jpg_640x640q90.jpg, HTB1xkzAjqAoBKNjSZSyq6yHAVXaY.jpg_640x640q90.jpg, HTB1XoppcXyZBuNjt_jJq6zDlXXaq.jpg_640x640q90.jpg",,,,"This 8-key membrane switch matrix array is ideal for DIY projects involving Arduino or other microcontrollers. It operates at standard logic levels (3.3V to 5V), making it compatible with a wide range of platforms like ESP32, STM32, and Raspberry Pi. The keypad connects via a simple matrix configuration, allowing for easy integration into your projects. Be mindful of debouncing when reading key presses to ensure reliable input detection. This kit is perfect for creating user interfaces for smart cars, home automation systems, or any interactive electronic project.","membrane keypad, matrix array, arduino, diy kit, smart car, input device, electronics, control panel, embedded systems, user interface",membrane keypad module,"smart car control, home automation interface, game controller, custom alarm system, interactive display",,
1 Box 115pcs M4 M5 M6 M8 Thickened Steel Four Claws Speaker Nut Blind Pronged Insert T-nut Wood Furniture Nut Assortment Kit Set - AliExpress.html,1 Box 115pcs M4 M5 M6 M8 Thickened Steel Four Claws Speaker Nut Blind Pronged Insert T-nut Wood Furniture Nut Assortment Kit Set,C:\Lab Orders\aliexpress\Ali Express Items\1 Box 115pcs M4 M5 M6 M8 Thickened Steel Four Claws Speaker Nut Blind Pronged Insert T-nut Wood Furniture Nut Assortment Kit Set - AliExpress.html,C:\Lab Orders\aliexpress\Ali Express Items\1 Box 115pcs M4 M5 M6 M8 Thickened Steel Four Claws Speaker Nut Blind Pronged Insert T-nut Wood Furniture Nut Assortment Kit Set - AliExpress_files,True,"HTB1CDdoaOzxK1Rjy1zkq6yHrVXa4.jpg_640x640q90.jpg, HTB1GohtaPvuK1Rjy0Faq6x2aVXah.jpg_640x640q90.jpg, S4aa2db9b841d484b91011564aa2b0760v.jpg_640x640q90.jpg, Sa7b6b71ee436473699f99559a3b2e90eH.jpg_640x640q90.jpg, Sc799917f2e7e463cb1c3e8e0c463d430L.jpg_640x640q90.jpg",,,Items Description Material Carbon steel Box include 6 sizes total 115pcs M4*8 25pcs / M4*10 20pcs / M5*8 30pcs M6*8 20pcs / M6*10 10pcs / M8*10 10pcs,"This assortment kit includes 115 pieces of thickened steel T-nuts in various sizes (M4, M5, M6, M8) suitable for securing components in DIY projects. These nuts are ideal for mounting speakers, panels, and other hardware in wood furniture or enclosures. Ensure proper hole sizing for a snug fit to prevent loosening over time. They are compatible with standard screws and can be used in conjunction with various microcontroller projects requiring secure fastening.","t-nut, speaker nut, furniture hardware, carbon steel, fasteners, woodworking, electronics, DIY, mounting, project assembly",t-nut assortment kit,"building speaker enclosures, creating custom furniture, securing components in electronic projects, assembling robotic frames",115,115
1 In 2 Out USB HUB Car Usb Splitter cable Multifunction Adapter Cord Charging Cable for iphone Android smart phone - AliExpress.html,1 In 2 Out USB HUB Car Usb Splitter cable Multifunction Adapter Cord Charging Cable for iphone Android smart phone,C:\Lab Orders\aliexpress\Ali Express Items\1 In 2 Out USB HUB Car Usb Splitter cable Multifunction Adapter Cord Charging Cable for iphone Android smart phone - AliExpress.html,C:\Lab Orders\aliexpress\Ali Express Items\1 In 2 Out USB HUB Car Usb Splitter cable Multifunction Adapter Cord Charging Cable for iphone Android smart phone - AliExpress_files,True,"A3357a659e70d4df088c70d7c52973f6bY.jpg_220x220.jpg, Ae931195f458d42608f859e48b9fda0b31.jpg_220x220.jpg, S1fc8da3285e34a40b594a53d577adcecZ.jpg, S6acd12eedcc5408c9d595b90b8501f05E.jpg, S7861d709bab94c8193b4ca7a25cf6aaa0.jpg, S9092312e69334f66b39c894b6abfc6ddZ.jpg, Sbb750183c0fd4b1a9b015ab2aa68358at.jpg",,,"Features: This USB splitter is perfect for anyone who requires to charge multiple devices at once. With its two USB ports, this splitter is great for use with mobile power , car, and USB . The two USB female ports can only charge and cannot transfer data, and they do not support the use of product such as mouse and USB drives. Whether you're traveling, at school, or in office, this splitter is the perfect solution for all your charging demands. With its quality plastic construction and support for USB charging cable and power adapter cord, this splitter is build to last and will provide you with years of reliable use. Specifications: Material: Plastic Type: A, , O (optional) Size: Approx. 12cm/4.72inch Package Includes: 1x USB Splitter","The 1 In 2 Out USB HUB Car USB Splitter is an essential accessory for charging multiple devices simultaneously. It features two USB female ports designed specifically for charging, making it ideal for use in vehicles or with mobile power sources. Note that this splitter does not support data transfer or connection to peripherals like mice or USB drives. Ensure that your power source provides adequate current to avoid underperformance, especially when charging multiple devices. Its durable plastic construction ensures longevity, making it a reliable choice for on-the-go charging needs.","usb splitter, charging cable, car accessory, mobile power, android, iphone, usb hub, multifunction, portable",usb charging splitter,"car charging station, portable device charger, multi-device charging hub",,
"1 Pack Electrical Quick Connector, Lever Wire Nut Connector, DIY Wire Connector (24-12 AWG), Push-in Electrical Connection Termi - AliExpress.html","1 Pack Electrical Quick Connector, Lever Wire Nut Connector, DIY Wire Connector (24-12 AWG), Push-in Electrical Connection Termi","C:\Lab Orders\aliexpress\Ali Express Items\1 Pack Electrical Quick Connector, Lever Wire Nut Connector, DIY Wire Connector (24-12 AWG), Push-in Electrical Connection Termi - AliExpress.html","C:\Lab Orders\aliexpress\Ali Express Items\1 Pack Electrical Quick Connector, Lever Wire Nut Connector, DIY Wire Connector (24-12 AWG), Push-in Electrical Connection Termi - AliExpress_files",True,"Afa69203bc0ff4b6b947da2b2c459ff00z.jpg_220x220.jpg, S134bf834ba73451b891b614a2ca161f7o.jpg_640x640q90.jpg, S28756011d9c24d62a80be191527fdd07S.jpg_640x640q90.jpg, S3764560b9e0f4b61836cab8d126f2915E.jpg_640x640q90.jpg, S9362b4353646466d889d8e6abddeebfay.jpg_640x640q90.jpg, S9790a3773d0541dc90de134561ca3446i.jpg_640x640q90.jpg, Sec18217ba99742518dfac62395c159ceL.jpg_640x640q90.jpg",,,,"The 1 Pack Electrical Quick Connector is ideal for DIY electronics projects, providing a reliable and easy way to connect wires without soldering. It supports wire sizes from 24 AWG to 12 AWG, making it versatile for various applications. The push-in design allows for quick connections, reducing assembly time and improving workflow efficiency. Ensure that the wires are stripped to the correct length for optimal contact and avoid over-tightening to prevent damage. These connectors are compatible with low-voltage projects and can be used with Arduino, ESP32, STM32, and Raspberry Pi setups.","quick connector, lever connector, wire nut, push-in connector, electrical connection, DIY electronics, 24-12 AWG, wire connector",wire connector,"LED strip lighting, sensor integration, robotics wiring, prototyping breadboard connections",1,1 pack
