product_name,html_path,resource_path,image_filenames,plain_description,enriched_description,tags,item_type,suggested_projects,parts_count_guess,part_count_estimate_llm,price
1-Channel Relay Module,C:\Users\Royma\Downloads\Temu Items 2\1 channel 3v 5v 12v 24v relay module board with shielding light coupler 12v relay module supports high and trigger triggering compact relay module durable construction relay module _ Temu.html,C:\Users\Royma\Downloads\Temu Items 2\1 channel 3v 5v 12v 24v relay module board with shielding light coupler 12v relay module supports high and trigger triggering compact relay module durable construction relay module _ Temu_files,"1b4d137a-9713-437(1).jpg, 1b4d137a-9713-4373-81c7.jpg, 471549e7-f09b-457(1).jpg, 471549e7-f09b-457d-bbca.jpg, 742bb400-310e-45b(1).jpg, 742bb400-310e-45b2-ba22.jpg, ae9364a8-28a7-4e19-a7c2.jpg, b62b18aa-d6a5-4d88-a9f.jpeg, cb3d0f4d-06a6-4198-83a9.jpg, fdfac87c-4a2e-465(1).jpg, fdfac87c-4a2e-465d-a996.jpg, fe76f3b9-1273-411e-8b71.jpg","1 Channel 3V, 5V, 12V, 24V Relay Module Board with Shielding, Light Coupler 12V Relay Module, Supports High and Low Level Trigger, High-Level Triggering Capability | Compact Relay Module | Durable Construction, Relay Module | Power Mode : Room electrical/hard wiring Operating Voltage : ≤36V Battery Properties : Without Battery See all details and dimensions | This component features a high-quality relay with a normally open interface. It includes SMD optocoupler isolation for robust driving capability and reliable performance. The module allows for high or low triggering based on jumper configuration. It has a fault-tolerant design, ensuring the relay remains inactive even if the control line is damaged. There is a green power indicator and a red relay status indicator. The interface is designed for user convenience, allowing all connections to be made directly via terminal leads.","This 1-Channel Relay Module is designed for seamless integration into your microcontroller projects. It supports multiple operating voltages (3V, 5V, 12V, 24V) and features a high-quality relay with a normally open interface. The module includes SMD optocoupler isolation for enhanced reliability and can be configured for high or low-level triggering. With a fault-tolerant design, it ensures safe operation even if the control line is compromised. Ideal for controlling high voltage devices from low voltage microcontrollers, this compact relay module is a must-have for any DIY electronics lab.","relay, module, microcontroller, electronics, diy, automation, optocoupler, low-level-trigger, high-level-trigger, compact, durable",relay module,"home automation, remote control systems, smart lighting, appliance control, sensor activation",,1,₪4.95
Ultra-thin Button Switch,C:\Users\Royma\Downloads\Temu Items 2\1 pack ultra thin button switch brass nickel plated stainless steel material lightless model two legged on new short - automotive - Temu.html,C:\Users\Royma\Downloads\Temu Items 2\1 pack ultra thin button switch brass nickel plated stainless steel material lightless model two legged on new short - automotive - Temu_files,"0dfa4d75-8abf-4ef4-8f9e-b6536a5b740e.jpg, 484851c2-6d54-4c55-9a97-3b383ce8852b.jpg, 5f5d978c-e33e-4eb9-822b-9a0fe6d2737d_300x300.jpeg, 69a6f8c4-b772-4fee-978a-51c3e4399410(1).png, 69a6f8c4-b772-4fee-978a-51c3e4399410.png, 6e107b51-e2ca-45dc-80cf-9eec2cb9a5f8(1).jpg, 6e107b51-e2ca-45dc-80cf-9eec2cb9a5f8.jpg, 80a0a375-30f5-4ca4-8b25-536461c0a1c8.jpg, b22f258f-c895-4c0b-a5ff-388564ecc2d7(1).jpg, b22f258f-c895-4c0b-a5ff-388564ecc2d7.jpg, b4635650-73ef-4947-8947-bdf049f0a8af.jpg, b5d1234f-c784-4b31-8afd-926fff2c8ac3(1).jpg, b5d1234f-c784-4b31-8afd-926fff2c8ac3.jpg, d3254d53-e1c1-459e-99f7-18d8d2a5a8cc(1).jpg, d3254d53-e1c1-459e-99f7-18d8d2a5a8cc.jpg, d3faaba2-63ef-49f1-b9f9-b1ac67c60320.jpg, f533f61b-cad8-4633-af93-894123ed2d43(1).jpg, f533f61b-cad8-4633-af93-894123ed2d43.jpg, f596f546-9f92-4aa6-8c6b-e1b2bf1ced42(1).jpg, f596f546-9f92-4aa6-8c6b-e1b2bf1ced42.jpg, f6c70581-ccce-4e13-be2b-36e1d56e2012.png","1 Pack, Ultra-thin Button Switch, Brass Nickel-plated/Stainless Steel Material, Lightless Model, Two-legged Always On, New Short Case Design","This ultra-thin button switch is perfect for compact DIY electronics projects where space is a premium. Made from durable brass with a nickel-plated finish, it ensures reliable performance and longevity. The lightless model features a two-legged design that is always on, making it ideal for applications requiring a constant connection. Its new short case design allows for seamless integration into various enclosures. Use this switch in your next embedded project to enhance user interaction without compromising on space.","button switch, ultra-thin, brass, nickel-plated, electronics, embedded, DIY, compact, always on",button switch,"custom game controller, portable LED light, compact alarm system, wearable tech device",1,1,
2-Pin Double Line Insertion Connector,C:\Users\Royma\Downloads\Temu Items 2\10 20pcs insertion connector 2 pin 2 port pvc insulated copper contact material quick connect uncharged with locking for led wire connection _ Temu.html,C:\Users\Royma\Downloads\Temu Items 2\10 20pcs insertion connector 2 pin 2 port pvc insulated copper contact material quick connect uncharged with locking for led wire connection _ Temu_files,"0f69018a6a6746e9c4ffdab69fd2621f.jpg, 13d7f23f4f8ffc944bac5f6c736d1893(1).jpg, 13d7f23f4f8ffc944bac5f6c736d1893.jpg, 1a64f37b0c6d3e985396985d8e9b5dd4.jpg, 20b161a58cd8c89f840b407993fc6ce5(1).jpg, 20b161a58cd8c89f840b407993fc6ce5.jpg, 359f1b4de4ce1f25b1bfc0792ec28129.jpg, 4b39208f2614c3c0612970cb8c752867(1).jpg, 4b39208f2614c3c0612970cb8c752867.jpg, 4cf9613d-d074-462d-ac24-edca96e83ed4_300x300.jpeg, 704e35e96ac50a2ea0b726936db19b66.jpg, 94da850718017da7dc9e31c0ef02b351(1).jpg, 94da850718017da7dc9e31c0ef02b351.jpg, c2c81746d22441a1ebc1b0b3274cde24.jpg, c3caa88d2d1e403e799c7c3fa4d5f0c2(1).jpg, c3caa88d2d1e403e799c7c3fa4d5f0c2.jpg","10/20pcs Double Line Insertion Connector, 2-Pin 2-Port, PVC Insulated, Copper Contact Material, Quick Connect Termination, Uncharged Power Mode, with Locking Buckle, for LED Wire Connection, NODEMCU LUA | Power Mode : Uncharged Contain Electronic Components/Motherboard : Does not contain electronic components or motherboard Material : Composite Material See all details and dimensions | Details: Material is plastic, color is black, with a rated voltage of 300V and a peak voltage of 2.5KV. The rated current is 9A, and the cross-sectional area ranges from 0.34 to 0.75 mm². It is compatible with wire types 22-18 AWG and is flame retardant according to UL94v-0.","This 2-pin double line insertion connector is ideal for quick and reliable connections in your microcontroller projects. Made from durable PVC with copper contacts, it ensures a secure fit and efficient power transfer for your LED wire connections. Rated for up to 300V and 9A, it supports wire sizes from 22 to 18 AWG, making it versatile for various applications. The locking buckle design provides added security, preventing accidental disconnections during operation. Perfect for DIY electronics enthusiasts looking to streamline their wiring setups.","2-pin, connector, quick connect, led, electronics, microcontroller, wiring, nodeMCU, pvc, copper, flame retardant",electrical connector,"LED lighting projects, microcontroller power connections, DIY electronics prototyping, home automation wiring",20,10-20 pieces,₪4.41
BAKU 10002 Solder Wire,C:\Users\Royma\Downloads\Temu Items 2\10002 no cleaning soldering wire tin rosin cored solder - Temu.html,C:\Users\Royma\Downloads\Temu Items 2\10002 no cleaning soldering wire tin rosin cored solder - Temu_files,"0ec40be0-0b80-11f0-b936-0a580a632983.jpg, 13b2dc80-0b80-11f0-a1d5-0a580a632787.jpg, 1ea79658-0b80-11f0-a7e4-0a580a632787.jpg, 26cbffae-0b80-11f0-a827-0a580a632983(1).jpg, 26cbffae-0b80-11f0-a827-0a580a632983.jpg, 37ad86b0-6757-42e0-aca6-294afd2d6e05_300x300.jpeg, 753638c2-0b7f-11f0-a7e4-0a580a632787(1).jpg, 753638c2-0b7f-11f0-a7e4-0a580a632787.jpg, 801a0aa9-d54d-4aec-b623-2550f2fa6e55.jpg, 8086a4e3-3cd3-4831-837b-202e4def03aa(1).jpg, 8086a4e3-3cd3-4831-837b-202e4def03aa.jpg, 9df7e164-804f-4bd3-82e9-552c586840dd.jpg, b10b742f-5b73-437d-8c4c-874dd615d3ee.jpg, bd9b24ae-8f5e-4332-b05c-a822657e5b3b.jpg","BAKU 10002 50g/roll No Cleaning Soldering Wire, Tin Rosin Cored Solder Wire for Electrical Welding 0.8mm Low Temperature Soldering Wire | Material : Metal Special Features : Rust resistant, Esd protection Recommended Scenario : Solder, Manual handling See all details and dimensions","The BAKU 10002 solder wire is a high-quality, tin rosin cored solder perfect for various electronics projects. With a diameter of 0.8mm, it is designed for low-temperature soldering, making it ideal for delicate components. This solder wire is rust-resistant and provides excellent ESD protection, ensuring reliable connections in your DIY electronics. Whether you're repairing circuits or building new devices, this solder wire will meet your needs effectively.","soldering, electronics, diy, solder wire, low temperature, rosin core, rust resistant, esd protection",solder wire,"circuit repairs, DIY electronics, model building, PCB assembly",,1 roll,₪10.41
12085 Passive Buzzer,C:\Users\Royma\Downloads\Temu Items 2\10pcs 20pcs 12085 passive buzzer 12mm with 42r mini buzzers for diy electronic projects 3v 12v - automotive - Temu.html,C:\Users\Royma\Downloads\Temu Items 2\10pcs 20pcs 12085 passive buzzer 12mm with 42r mini buzzers for diy electronic projects 3v 12v - automotive - Temu_files,"1701400603933-3057b79779ae469286c93858fc3d3459-goods(1).jpeg, 1701400603933-3057b79779ae469286c93858fc3d3459-goods.jpeg, 1701400604236-75ef34d4ead147c8b84dee27b50ce402-goods.jpeg, 1701400604460-d48ebd8a363b48fc9883eda763faaa9d-goods.jpeg, 1701400604679-946ed0f3dcc8498b83860a1efdbb2d9f-goods(1).jpeg, 1701400604679-946ed0f3dcc8498b83860a1efdbb2d9f-goods.jpeg, 1701400604914-2ab763b9678140459ed0d0723aa2ae97-goods(1).jpeg, 1701400604914-2ab763b9678140459ed0d0723aa2ae97-goods.jpeg, 1701400605117-d002a10c430e4992abfeb0b35cca3e5d-goods.jpeg, 1701400605318-34efa330d8694af6a58016a87826e24f-goods.jpeg, 1701400606576-e9527b365181410fa957a949f842a11c-goods.jpeg, 1701400606807-bd3e6ca1e78e42b1bbe2aba399c3781e-goods.jpeg, 1701400606987-d7dbe75cdb264c9cb25571204e2de7f0-goods.jpeg",10pcs/20pcs 12085 Passive Buzzer 12MM With 42R Resistance - Mini Piezo Buzzers For Arduino DIY Electronic Projects (3V~12V) | Car Series : Other Battery Properties : Without Battery Applicable Models : See Product Details See all details | Feature: Name:12085 Passive Buzzer Diameter: 12mm 42R 12085 3V-12V Common Package List: 10/20PCS Passive Buzzers,"The 12085 Passive Buzzer is a compact 12mm piezo buzzer designed for a wide range of DIY electronics projects. Operating at voltages between 3V and 12V, this buzzer is perfect for Arduino-based applications, providing sound output for alerts, notifications, and more. With a resistance of 42 ohms, it is easy to integrate into your circuits. Available in packs of 10 or 20, these buzzers are an essential component for any maker's toolkit.","passive buzzer, piezo buzzer, arduino, electronics, diy, sound output, 12085, mini buzzer, audio alert",passive buzzer,"alarm system, notification sound, game sound effects, interactive art, educational projects",10,10-20,₪4.79
9V Battery Clip Connectors,"C:\Users\Royma\Downloads\Temu Items 2\10pcs 9v battery clip connectors t type pu leather long cable housing with metal contacts red wires secure for batteries and devices - business, & science - Temu.html","C:\Users\Royma\Downloads\Temu Items 2\10pcs 9v battery clip connectors t type pu leather long cable housing with metal contacts red wires secure for batteries and devices - business, & science - Temu_files","0acfeb11-5498-4af2-96b5-28cd111de44d(1).jpg, 0acfeb11-5498-4af2-96b5-28cd111de44d.jpg, 0cbe0e6a-0a86-4aa9-82e3-8d9aec3e8112(1).jpg, 0cbe0e6a-0a86-4aa9-82e3-8d9aec3e8112.jpg, 1a637d7a-6362-4c7d-a0db-043a68d405ae(1).jpg, 1a637d7a-6362-4c7d-a0db-043a68d405ae.jpg, 1bafef5f-db48-43d1-b8b7-404ecc15e7a1(1).jpg, 1bafef5f-db48-43d1-b8b7-404ecc15e7a1.jpg, 30922c46-59ff-4d16-9988-78f187f5c5b5_300x300.jpeg, 7b056bf1-7baf-4213-9caf-3615894aba36(1).jpg, 7b056bf1-7baf-4213-9caf-3615894aba36.jpg, 82cd8ddd-7ddc-411c-9d12-a508c971677b(1).jpg, 82cd8ddd-7ddc-411c-9d12-a508c971677b.jpg, ae072086-e538-4be6-ab9f-caba91bdeee5.jpg, e9813cbe-1926-4b6e-a224-aea70d92bd88(1).jpg, e9813cbe-1926-4b6e-a224-aea70d92bd88.jpg, f666e408-03ce-4e4a-bef6-06f5cf0edbbe(1).jpg, f666e408-03ce-4e4a-bef6-06f5cf0edbbe.jpg","10pcs 9V Battery Clip Connectors, T-Type PU Leather Long Cable Housing with Metal Contacts & Red Wires, Secure Electrical Connection for Batteries and Devices | Insulation Type : Pvc insulated Contact Material : Aluminum Termination Type : Plug-in See all details","This set of 10 T-type 9V battery clip connectors features durable PU leather long cables and secure metal contacts for reliable electrical connections. Ideal for DIY electronics projects, these connectors are perfect for powering various devices and circuits. The PVC insulation ensures safety and longevity, making them suitable for both prototyping and final builds. Use these connectors to easily interface batteries with your microcontroller projects and other electronic devices.","9v battery, connectors, electronics, diy, prototyping, cables, power supply, metal contacts, insulation, plug-in",battery connectors,"battery-powered LED projects, portable sensors, DIY audio devices, robotics, remote control systems",10,10,₪5.30
PH2.0 Terminal Cables,C:\Users\Royma\Downloads\Temu Items 2\10pcs ph2 0 single head terminal cables red coded 2 pin connectors durable plug in electronic wiring harness for speaker microphone battery power cords secure audio connections _ Temu.html,C:\Users\Royma\Downloads\Temu Items 2\10pcs ph2 0 single head terminal cables red coded 2 pin connectors durable plug in electronic wiring harness for speaker microphone battery power cords secure audio connections _ Temu_files,"0404aabda2994837a98f(1).jpeg, 0404aabda2994837a98fb87d1a.jpeg, 10b62891824841c1b1e9(1).jpeg, 10b62891824841c1b1e95004b5.jpeg, 94b7807147c74b0a878adee8a5.jpeg, b439ad081f8b4a489fb1(1).jpeg, b439ad081f8b4a489fb111ab35.jpeg, c6bf9dcbeabf421a952543c880.jpeg, d3a808ce-4964-491c-9582-f2c.png, e8aa0c2406af4e4684c4(1).jpeg, e8aa0c2406af4e4684c46b7a00.jpeg, ff4593ed-365c-41fc-8eb9-0c3.png","10pcs PH2.0 Single-Head Terminal Cables - Red & Black Color-Coded 2-Pin Connectors, Durable Plug-In Electronic Wiring Harness for Speaker Microphone Battery Power Cords, Secure Audio & DC Connections | Material : Copper Item ID : MH1787080 Copy Origin : Guangdong,China","This set of 10 PH2.0 single-head terminal cables features durable red and black color-coded 2-pin connectors, making them ideal for a variety of electronic wiring applications. Perfect for connecting speaker microphones, battery power cords, and ensuring secure audio and DC connections. The copper construction ensures reliable conductivity and longevity in your projects. These cables are essential for DIY enthusiasts looking to streamline their wiring processes in microcontroller and embedded systems.","terminal cables, connectors, wiring harness, audio connections, dc connections, electronics, diy projects, microcontroller, speaker, battery",terminal connector cables,"audio amplifier, battery-powered device, DIY speaker system, microcontroller interface, portable electronics",10,10,₪4.98
Plastic Spring Clamps - 10pcs,C:\Users\Royma\Downloads\Temu Items 2\10pcs plastic spring clamps 2 inch for diy woodworking projects workbenches home _ Temu.html,C:\Users\Royma\Downloads\Temu Items 2\10pcs plastic spring clamps 2 inch for diy woodworking projects workbenches home _ Temu_files,"1694681245478-396aa83e57b84761a6609badccb58ec3-goods.jpeg, 1694681245671-b6501b3ff6f5422684fd75a2b174e5e0-goods(1).jpeg, 1694681245671-b6501b3ff6f5422684fd75a2b174e5e0-goods.jpeg, 1694681245851-16f91d58f5284f9aaca7c9dfb6f204ab-goods.jpeg, 1694681246210-6762d1e971a54384bec0b7006c4c0ab2-goods(1).jpeg, 1694681246210-6762d1e971a54384bec0b7006c4c0ab2-goods.jpeg, 1694681246632-6fc976ecf3ba46d4aa4cc83e48455aa2-goods.jpeg, 1694681247149-686a39e3a4b841d0acb6ddd01e368089-goods.jpeg, 209c0f83-5104-406a-910b-f40b71e21571.jpg, 277a658c-461e-4795-bec1-3db319ff5acf.jpg, 4db5e46c-3a77-419b-9e00-4da826fcebbd.jpg, a24fecaa-eda1-4379-96f3-f4925d183ae0.jpg, d1d8a091-fb2d-45e7-8980-d6c4d9ec4691_300x300.jpeg, ff4593ed-365c-41fc-8eb9-0c33e21075ae.png.slim.png","10pcs Black & Orange Plastic Spring Clamps, 2-Inch Grip - Perfect for DIY Woodworking Projects, Workbenches & Home Workshops | Material : PP Item ID : PK30035 Copy Origin : Guangdong,China","These 10pcs Black & Orange Plastic Spring Clamps are ideal for securing materials during your DIY projects. With a 2-inch grip, they provide a strong hold for woodworking tasks, ensuring stability while you work. Made from durable polypropylene, these clamps are perfect for use in workshops or home projects. Their lightweight design allows for easy handling and repositioning, making them a must-have tool for any maker's toolkit.","clamps, woodworking, diy, tools, plastic, spring, workshop, projects, home, maker",clamp set,"woodworking, model building, crafting, home repairs, assembly tasks",10,10,₪10.88
Waterproof Plastic Junction Box (10pcs),"C:\Users\Royma\Downloads\Temu Items 2\10pcs waterproof plastic electric project junction box 60x36x25mm - business, & science - Temu.html","C:\Users\Royma\Downloads\Temu Items 2\10pcs waterproof plastic electric project junction box 60x36x25mm - business, & science - Temu_files","1693107335404-7fb5d4118ac842bfa7dbd81dd6463558-goods.jpeg, 1693107335697-58186ba0dfb1493ebb8a0094986a733f-goods.jpeg, 1693107335909-b087bff55d654687aa3e9ba49e995c34-goods(1).jpeg, 1693107335909-b087bff55d654687aa3e9ba49e995c34-goods.jpeg, 1693107336165-7df79185d40e47b3952300b5c9d8ec32-goods.jpeg, 1693107336386-0542d5c43c5440f8a7def64b417e853a-goods(1).jpeg, 1693107336386-0542d5c43c5440f8a7def64b417e853a-goods.jpeg, 1693107337875-f309c16ac4a84449a41e3a886263c648-goods.jpeg, 1693107338124-2a819bd11226479eb7de07bee430c6dd-goods.jpeg, 1693107338343-a2cfd09ad2b1456fb59a5c401eb53885-goods.jpeg, b98b8daf-352f-46b4-baf4-1dddb2a3c85e_300x300.jpeg","10pcs Waterproof Plastic Electric Project Junction Box 60x36x25mm | Power Mode : Uncharged Major Material : ABS Finish Type : Painted See all details and dimensions | Features: brand new and high quality Durable and practical Great for electronic projects, power supply units, student projects, amplifiers, etc. No screws included Specifications: Material: Plastic Color: Black Outside Size:60x36x25mm/2.36x1.38x0.98"" Quantity: 10 Pcs/1 Set Note: Please allow 1-3mm error due to manual measurement. pls make sure you do not mind before you bid","This set of 10 waterproof plastic junction boxes is perfect for housing your electronic projects and protecting them from moisture. Each box measures 60x36x25mm, making them compact yet spacious enough for various components. Made from durable ABS plastic, these boxes are ideal for power supply units, student projects, and amplifiers. With a painted finish, they not only provide functionality but also a sleek appearance for your DIY setups. Note that screws are not included, so be sure to have your own fasteners ready for assembly.","junction box, waterproof, plastic, electronics, project housing, diy, abs, durable, compact, power supply",junction box set,"weatherproof electronics, custom power supplies, student electronics projects, amplifier enclosures",10,10,₪18.51
RS360 DC Motor,C:\Users\Royma\Downloads\Temu Items 2\12v 24000rpm high speed micro motor diy - Temu.html,C:\Users\Royma\Downloads\Temu Items 2\12v 24000rpm high speed micro motor diy - Temu_files,"0250b15c-0051-454c-a451-218ebe991189.jpg, 3024f46e5524f0fa6892f8b52dc0b320.jpg, 46bce371-9b57-4a3c-b025-602f002d2b93_300x300.jpeg, 523ec992-2e0b-459e-ad8b-bd161bd9fb88.jpg, 5cecaaceb6ac39db99dae49da9db0aa4.jpg, 7083c3dace7028d014998bf1a3b6dc81.jpg, 7be7b48e-b5fe-40d2-9a83-b4aee38011c0(1).jpg, 7be7b48e-b5fe-40d2-9a83-b4aee38011c0.jpg, a75f198a-d5db-4c79-9976-2408b91a0bdc.jpg, ab8c7b56-8128-463e-a529-9bdf757f3623.jpg, b3d79da2e2e1ea0a2936a09ae35f38cb.jpg, c914f0f09d9e1e6c2afd78693dcfc962(1).jpg, c914f0f09d9e1e6c2afd78693dcfc962.jpg, dfdb62d2-5282-4f78-a6e5-1cf764576542_1000x1000(1).jpeg, dfdb62d2-5282-4f78-a6e5-1cf764576542_1000x1000.jpeg",RS360 DC Motor 6-12V 24000RPM High Speed Micro Motor for DIY Toys / Hair Dryer / Appliances with Shield Ring | Material : Metal Assembly Required : No Display Type : No Display See all details and dimensions | Parameter Information:,"The RS360 DC Motor is a high-speed micro motor designed for various DIY applications, operating efficiently within a voltage range of 6-12V and reaching speeds of up to 24000 RPM. Its robust metal construction ensures durability, making it suitable for projects involving toys, hair dryers, and other appliances. This motor is ideal for makers looking to integrate high-performance components into their designs without the need for complex assembly. Whether you're building a robotic system or a custom appliance, the RS360 provides the power and reliability you need.","dc motor, high speed, rs360, diy projects, electronics, robotics, appliances, metal motor, 24000rpm",DC motor,"robotic arm, custom fan, toy car, hair dryer modification",,1,₪7.33
